name,episodes,rating
"Saimin Class	",2,6.29
Taimanin Asagi 3,2,6.57
One Piece,932,8.48
Shikkoku no Shaga The Animation,3,7.31
Nuki Doki! Tenshi to Akuma no Sakusei Battle - Revolution,4,6.44
Kyonyuu Reijou MC Gakuen,2,6.82
Idol Kyousei Sousa,2,4.61
Hitorijime My Hero,12,7.48
Citrus,12,6.57
Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,1,Unknown
Shiiku x Kanojo: Tenshi no Kousoku-hen,4,5.65
Maid-san to Boin Damashii,2,5.59
Bokura no Sex,2,6.48
Secret Journey,2,6.24
Houkago Initiation,2,6.34
300 En no Otsukiai,1,6.33
JK to Ero Konbini Tenchou,6,6.69
Hachishaku Hachiwa Keraku Meguri: Igyou Kaikitan The Animation,3,Unknown
Pinkerton,3,6.7
Kuro no Kyoushitsu,2,6.58
Oide yo! Shiritsu Yarimakuri Gakuen,4,6.86
Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,2,6.83
Nudist Beach ni Shuugakuryokou de!! The Animation,2,6.91
Kimi no Mana wa Rina Witch,1,6.81
Tsumamigui 3 The Animation,2,7.2
Marshmallowâ˜…Imoutoâ˜…Succubusâ˜…,2,6.88
Chijoku no Seifuku,2,6.89
Pretty x Cation 2 The Animation,2,7.2
Shoujo-tachi no Sadism The Animation,2,6.86
Amakano,4,6.9
Kyonyuu Hitozuma Onna Kyoushi Saimin,2,7.05
Shoujo kara Shoujo e...,2,6.97
Ero Manga! H mo Manga mo Step-upâ™ª,2,6.8
Fella Hame Lips,2,7.24
Energy Kyouka!!,2,6.96
Oni Chichi: Refreshâ™¥,4,6.99
Dropout,2,7.01
Oni Chichi: Vacation,1,6.9
JK Bitch ni Shiboraretai,2,7.22
Toshi Densetsu Series,6,7.42
Youjo Senki,12,8.05
Yami Shibai 4th Season,26,8.16
Whistle! (ONA),39,7.41
"Wake Up, Girls! Shin Shou",12,6.5
Urara Meirochou,12,7.15
UQ Holder!,12,6.6
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,26,7.76
Uchouten Kazoku 2,12,8.16
Tsukipro The Animation,13,6.74
Tsugumomo,12,7.09
Trick or Alice,1,Unknown
Uchouten Kazoku 2,12,8.16
Tsukipro The Animation,13,6.74
Tsugumomo,12,7.09
The Snack World (TV),18,5.7
THE REFLECTION,12,5.16
Tenshi no 3P!,12,6.2
Sword Gai (TV),24,5.9
Starmyu 2nd Season,12,7.37
Sin: Nanatsu no Taizai,12,5.69
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,12,7.78
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,12,8.81
Shishou Series,12,Unknown
Sentai Hero Sukiyaki Force,24,0.5
Senki Zesshou Symphogear 5th Season,13,6.8
Senki Zesshou Symphogear 4th Season,13,7.6
Seikaisuru Kado,12,6.86
Schoolgirl Strikers: Animation Channel,13,5.72
Saredo Tsumibito wa Ryuu to Odoru,12,5.86
Sakurada Reset,24,7.4
Sakura Quest,25,7.43
Saiyuuki Reload Blast,12,7.24
Room Mate: One Room Side M,12,5.4
Rokudenashi Majutsu Koushi to Akashic Records,12,7.25
Rescue Academia,Unknown,Unknown
Renai Boukun,12,6.77
Reikenzan: Hoshikuzu-tachi no Utage 2nd Season,12,6.99
Project758,Unknown,Unknown
Piace: Watashi no Italian,12,5.88
Peace Maker Kurogane (Shinsaku),24,7.34
Oushitsu Kyoushi Haine,12,7.51
One Room,12,5.61
Nyanko Days,12,6.62
Nora to Oujo to Noraneko Heart,11,5.41
Ninja Bear,Unknown,Unknown
Nil Admirari no Tenbin: Teito Genwaku Kitan,12,6.62
Netsuzou TRap,12,5.41
Mori no Yousei: Kinoko no Musume,Unknown,Unknown
Mobile Suit Gundam Thunderbolt 2nd Season,4,7.29
Mirai Arise,Unknown,Unknown
Minna Atsumare! Falcom Gakuen 3rd Season,Unknown,Unknown
Minami Kamakura Koukou Joshi Jitensha-bu,13,5.67
Megaton-kyuu Musashi,Unknown,Unknown
Marginal#4: Kiss kara Tsukuru Big Bang,12,6.71
Locker Room,Unknown,Unknown
Landreaall,1,Unknown
Kyoukai no Rinne (TV) 3rd Season,25,7.09
Kobayashi-san Chi no Maid Dragon,13,8.08
Knight&#039;s &amp; Magic,13,7.19
Kishibe Rohan wa Ugokanai,4,7.53
Kenka Banchou Otome: Girl Beats Boys,12,6.5
Kemono Friends,12,7.61
Kaitou Tenshi Twin Angel (TV),12,5.91
Kabukibu!,12,6.62
Island,12,6.41
Isekai Shokudou,12,7.36
Infini-T Force,12,6.52
Inazuma Eleven: Ares no Tenbin,26,6.75
IDOLiSH7,17,7.88
Idol Jihen,12,5.68
ID-0,12,6.64
Hinako Note,12,6.77
High Score Girl,12,7.97
Hajimete no Gal,10,6.37
Grancrest Senki,24,7.28
Godzilla,1,6.58
Ginga Jinpuu Jinraiger,Unknown,Unknown
Ginga Eiyuu Densetsu (2017),110,9.11
Gin no Guardian,12,6.28
Gekidol,Unknown,Unknown
Gan Gan Ganko-chan,10,Unknown
Ganko-chan,10,Unknown
Gamers!,12,7.03
Gabriel DropOut,12,7.53
Fukumenkei Noise,12,7.05
Frame Arms Girl,12,6.45
Flying Babies,12,5.94
Finis,12,Unknown
Escha Chron,2,6.53
Ensemble Stars!,24,6.77
Dies Irae,11,5.42
Demi-chan wa Kataritai,12,7.67
Death March kara Hajimaru Isekai Kyousoukyoku,12,6.64
Code:Realize: Sousei no Himegimi,12,6.67
Clockwork Planet,12,6.5
Cinderella Girls Gekijou,13,6.56
Chou Shounen Tanteidan Neo,13,5.22
Chiruran: Nibun no Ichi,12,5.68
Centaur no Nayami,12,6.51
Cardcaptor Sakura: Clear Card-hen,22,7.68
Busou Shoujo Machiavellianism,12,7.02
Blame! Movie,1,7.2
BanG Dream!,13,6.99
Ä“lDLIVE,12,6.19
Atom: The Beginning,12,6.88
Armed Blue: Gunvolt,1,5.76
Ao Oni The Animation (Movie),1,4.32
Alice to Zouroku,12,7.14
Alice in Deadly School,Unknown,Unknown
Akiba&#039;s Trip The Animation,13,6.6
After School,428,7.2
ACCA: 13-ku Kansatsu-ka,12,7.69
6HP (Six Hearts Princess),3,5.98
Touken Ranbu,13,6.76
Granblue Fantasy The Animation,13,6.75
Full Metal Panic! IV,24,7.68
Shingeki no Bahamut: Manaria Friends,10,6.66
FLCL (TV),6,8.03
Zero kara Hajimeru Mahou no Sho,12,7.13
Hand Shakers,12,5.44
Berserk (2017),12,6.5
Eromanga-sensei,12,6.62
ChÃ¤oS;Child,12,6.64
Kuzu no Honkai,12,7.4
Little Witch Academia (TV),25,7.98
Free! (Shinsaku),12,7.44
Fuuka,12,6.59
Mekakucity Reload,12,Unknown
Kekkai Sensen &amp; Beyond,12,7.94
Yowamushi Pedal: New Generation,25,7.73
Fate/Extra Last Encore,10,6.34
Kantai Collection: KanColle Zoku-hen,12,Unknown
Masamune-kun no Revenge,12,6.9
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,12,7.08
K: Seven Stories,1,7.36
Violet Evergarden,13,8.62
Saenai Heroine no Sodatekata â™­,12,7.57
Super Lovers 2,10,7.44
Ao no Exorcist: Kyoto Fujouou-hen,12,7.52
Kono Subarashii Sekai ni Shukufuku wo! 2,10,8.33
Boku no Hero Academia 2nd Season,25,8.49
Code Geass: Fukkatsu no Lelouch,1,8.03
